Judul,Instansi,Lembaga,LembagaDetail,Author,PreProcess
Studi Drag Force Gelombang Air Laut terhadap Fondasi Tiang Mini (Mini Pile) di Kawasan Pantai Parangtritis,Universitas Sarjanawiyata Tamansiswa,LPK,LPK,ZAINUL FAIZIEN HAZA,studi drag force gelombang air laut pondasi tiang mini mini pile kawasan pantai parangtritis
Berita Lokal di Era digital,Universitas Gadjah Mada,LPK,LPK,ADAM WIJOYO SUKARNO,berita lokal era digital
Meningkatkan Kualitas Interaksi antara Pelanggan dengan Organisasi dengan Dukungan WhatsApp,Universitas Islam Indonesia,LPK,LPK,ANJAR PRIYONO,tingkat kualitas interaksi langgan organisasi dukung whatsapp
Integrasi Logistik Eksternal dan Internal dalam Mendukung Manajemen Rantai Pasokan : Analisis terhadap Industri Retail di DIY),Universitas Islam Indonesia,LPK,LPK,ANJAR PRIYONO,integrasi logistik eksternal internal dukung manajemen rantai pasok analisis industri retail diy
Peran Media dalam Mensosialisasikan Kebijakan Publik,Universitas Muhammadiyah Yogyakarta,LPK,LPK,ANE PERMATASARI,peran media sosialisasi bijak publik
Kebijakan Upah Minimum terhadap Kesejahteraan Pekerja (Studi Kasus di Wilayah Kabupaten Sleman dan Kota Yogyakarta),Universitas Muhammadiyah Yogyakarta,LPK,LPK,MUKHTAR,bijak upah minimum sejahtera studi wilayah kabupaten sleman kota yogyakarta
Karakterisasi Chirality dan Medan Elektromagnetik Dalam Uji Desain Baru Matematerial Chiral Sebagai Polarizer Terkontrol,Universitas Gadjah Mada,LPK,LPK,JULIASIH PARTINI,karakterisasi chirality medan elektromagnetik uji desain matematerial chiral polarizer kontrol
Pengaruh Strategi Promosi dan Strategi Harga Terhadap Minat Beli dengan Store Atmosphere Sebagai Pemoderasi,Universitas Kristen Duta Wacana,LPK,LPK,AMBAR KUSUMA ASTUTI,pengaruh strategi promosi strategi harga minat beli store atmosphere pemoderasi
Aizuchi Dalam Bahasa Jepang : Sebuah Tinjauan Strategi Komunikasi Melalui Analisis Percakapan,Universitas Muhammadiyah Yogyakarta,LPK,LPK,THAMITA ISLAMI INDRASWARI,aizuchi bahasa jepang buah tinjau strategi komunikasi analisis cakap
Evaluasi Perkembangan Usaha Masyarakat Pinjaman Dana Bergulir Melalui UPK-SPP Diwilayah Kecamatan Kasihan Kabupaten Bantul Yogyakarta,Universitas Muhammadiyah Yogyakarta,LPK,LPK,MUNJIATI MUNAWAROH,evaluasi kembang usaha masyarakat pinjam dana gulir upk-spp wilayah camat kasihan kabupaten bantul yogyakarta
Penerapan Metode Child Centered Design untuk Pembangunan Aplikasi bagi Anak,Universitas Kristen Duta Wacana,LPK,LPK,ROSA DELIMA,terap metode child centered design bangun aplikasi mahasiswa
Jaminan Prinsip Keadilan Dalam Pelakksanaan Pemilihan Umum Serentak,Universitas Muhammadiyah Yogyakarta,LPK,LPK,IWAN SATRIAWAN,jamin prinsip adil pelakksanaan pilih umum serentak
Pembuatan Neraca Resolusi Tinggi Berbasis Sensor Pergeseran Menggunakan Serat Optik,Universitas Gadjah Mada,LPK,LPK,KUSMINARTO,neraca resolusi tinggi bas sensor geser serat optik
Pembuatan Filter Inframerah Berbahan Film Seluloid Untuk Termografi,Universitas Gadjah Mada,LPK,LPK,KUSMINARTO,filter inframerah bahan film seluloid termograf
Ande-ande  lumut: adaptasi dari folklor ke pertunjukan teater epic brecht,Institut Seni Indonesia Yogyakarta,LPK,LPK,Philipus Nugroho Hari Wibowo,ande-ande lumut adaptasi folklor teater epic brecht
Peningkatan Kemampuan Berbicara Mahasiswa Pendidikan Bahasa Inggris melalui Pembelajaran Public Speaking Multidimensi,Universitas Mercu Buana Yogyakarta,LPK,LPK,ELYSA HARTATI,tingkat bicara mahasiswa didik bahasa inggris ajar public speaking multidimensi
Optimalisasi Produksi Mikrokonidium Fusarium Oxysporum F.SP. Cepae Avirulen untuk Pengembangan Fungsida Mikrobial Pengendali Penyakit Moler Bawang Merah,Universitas Mercu Buana Yogyakarta,LPK,LPK,BAMBANG NUGROHO,optimalisasi produksi mikrokonidium fusarium oxysporum sp cepae avirulen kembang fungsida mikrobial kendali sakit moler bawang merah
Analisis Pengaruh Manajemen Piutang Terhadap Profitabilitas Pada Perusahaan Manufaktur yang Terdaftar Di BEI 2010-2012,Universitas Mercu Buana Yogyakarta,LPK,LPK,HASIM AS ARI,analisis pengaruh manajemen piutang profitabilitas usaha manufaktur daftar bei -
Pengembangan dan Pengelolaan Informasi Lembaga Melalui Dokumentasi Audio Visual di Gereja Katolik Kristus Raja Baciro Yogyakarta,Universitas Atma Jaya Yogyakarta,LPK,LPK,YOHANES WIDODO,kembang kelola informasi lembaga dokumentasi audio visual gereja katolik kristus raja baciro yogyakarta
Analisis Dampak Usaha Ritel Modern terhadap Ritel Tradisional Studi Kasus di Wilayah Kecamatan Gamping Ambarketawang Sleman Yogyakarta,Universitas Muhammadiyah Yogyakarta,LPK,LPK,HASNAH RIMIYATI,analisis dampak usaha ritel modern ritel tradisional studi wilayah camat gamping ambarketawang sleman yogyakarta
Pengaruh Return Saham Terhadap Nilai Earning Per Share Perusahaan Manufaktur di Bursa Efek Indonesia,Universitas Widya Mataram,LPK,LPK,YULIANA ENDAH WIDYANINGSIH,pengaruh kembali saham nilai earning bagi usaha manufaktur bursa efek indonesia
Analisis Kepuasan wisatawan Pengunjung Obyek Wisata di Kabupaten Sleman.,Universitas Widya Mataram,LPK,LPK,KRISTIANA SRI UTAMI,analisis puas wisatawan unjung obyek wisata kabupaten sleman
Pemantauan Intensitas Radiasi Matahari Suhu Lingkungan dan Kelembaban di Wilayah Terdampak Letusan Gunung Merapai Sleman Yogyakarta,Universitas Gadjah Mada,LPK,LPK,WAGINI,pantau intensitas radiasi matahari suhu lingkung kelembaban wilayah dampak letus gunung rapai sleman yogyakarta
Perhitungan Tingkat Tenaga dari Atom He pada Konfigurasi 1s2p,Universitas Gadjah Mada,LPK,LPK,YOSEF ROBERTUS UTOMO,hitung tingkat tenaga atom he konfigurasi sp
Pengaruh Motivasi Berprestasi Dan Kecerdasan Emosi Terhadap Penyesuaian Diri Mahasiswa Santri Keperawatan,Sekolah Tinggi Ilmu Kesehatan Surya Global,LPK,LPK,EVI NIKMATUZZAKIYAH,pengaruh motivasi prestasi cerdas emosi sesuai mahasiswa santri awat
Hubungan Antara Status Gizi dan Status Infeksi dengan Status Sosial-Ekonomi pada Anak-Anak SD di Daerah Nalayan Kabupaten Bantul Yogyakarta,Universitas Muhammadiyah Yogyakarta,LPK,LPK,TRI WULANDARI,hubung status gizi status infeksi status sosial-ekonomi mahasiswa sd daerah nalayan kabupaten bantul yogyakarta
Filter Analog: Pengujian Filter pada Akuisisi Denyut Jantung,Politeknik Mekatronika Sanata Dharma,LPK,LPK,NUGROHO BUDI WICAKSONO,filter analog uji filter akuisisi denyut jantung
Efektivitas Penyuluhan Kesehatan Pada Wanita Usia Subur Terhadap Perilaku Deteksi Dini Kanker Serviks di Desa Wukirsari Imogiri Bantul,Akademi Kesehatan Karya Husada Yogyakarta,LPK,LPK,SITI MARYATI,efektivitas suluh sehat wanita usia subur perilaku deteksi kanker serviks desa wukirsari imogiri bantul
Analisis faktor-faktor yang mempengaruhi prestasi mahasiswa AKPER Notokusumo,Akademi Keperawatan Notokusumo,LPK,LPK,GIRI SUSILO ADI,analisis faktor pengaruh prestasi mahasiswa akper notokusumo
Uji validitas konstruk dan reliabilitas disaster preparedness evaluation tool (DPET) versi Indonesia,Universitas Gadjah Mada,LPK,LPK,SYAHIRUL ALIM,uji validitas konstruk reliabilitas disaster preparedness evaluation tool dpet versi indonesia
Revitalisasi Tari Tradisi Sintren Pada Paguyuban Sintren Jaya Mulya Batang Jawa Tengah.,Institut Seni Indonesia Yogyakarta,LPK,LPK,SETYASTUTI,revitalisasi tari tradisi sintren paguyuban sintren jaya mulya batang jawa tengah
Pemanfaatan Metode Clustering Berbasis Densitas Pada Sistem Penalaran Berbasis Kasus,Universitas Gadjah Mada,LPK,LPK,AINA MUSDHOLIFAH,manfaat metode clustering bas densitas sistem nalar bas
Analisa Biomarker sebagai Prediktor Kematian Pasien Dewasa yang Menderita Defek Septum Atrium dengan Hipertensi Paru,Universitas Gadjah Mada,LPK,LPK,dr. ANGGORO BUDI HARTOPO M.Sc. Sp.PD. Ph.D.,analisa biomarker prediktor mati pasien dewasa derita defek septum atrium hipertensi paru
KETAHANAN PAPAN PARTISI KERTAS DAUR ULANG TERHADAP AIR,Universitas Gadjah Mada,LPK,LPK,ALEXANDER RANI SURYANDONO,tahan papan partisi kertas daur ulang air
Kajian Spektroskopi Impedansi dan Permitivitas Listrik Pada Nanopartikel Ferrite,Universitas Gadjah Mada,LPK,LPK,EDI SUHARYADI,kaji spektroskop impedansi permitivitas listrik nanopartikel ferrite
Komputasi Berbasis Spreadsheets Bagi Dinamika Benda Pada Sebarang Bentuk Gaya,Universitas Gadjah Mada,LPK,LPK,PEKIK NURWANTORO,komputasi bas spreadsheets dinamika benda sebarang bentuk gaya
Kajian Numerik Terhadap Ketergantungan Sudut Bagi Medan Magnet Nukleasi,Universitas Gadjah Mada,LPK,LPK,PEKIK NURWANTORO,kaji numerik gantung sudut medan magnet nukleasi
Pengembangan Ekstrak Etanol Curcuma Caesia sebagai Anti-Inflamasi: Parameter Farmakognosi Profil Fitokimia dan Uji Aktivitas,Universitas Islam Indonesia,LPK,LPK,ASIH TRIASTUTI,kembang ekstrak etanol curcuma caesia anti-inflamasi parameter farmakognosi profil fitokimia uji aktivitas
Pengaruh komponen corporate reporting supply chains (CSRC) pada transparensi informasi,Sekolah Tinggi Ilmu Ekonomi Ykpn,LPK,LPK,EFRAIM FERDINAN GIRI,pengaruh komponen corporate reporting supply chains csrc transparensi informasi
PENGARUH BINTANG IKLAN DAN NON BINTANG IKLAN DALAM IKLAN PRODUK ES KRIM MAGNUM TERHADAP MINAT BELI MAHASISWA DI YOGYAKARTA,Universitas Janabadra,LPK,LPK,HARIMURTI PRAWIROHARDJO,pengaruh bintang iklan non bintang iklan iklan produk es krim magnum minat beli mahasiswa yogyakarta
Kajian tentang Gerak Inti Ballistik untuk Memahami Pembentukan Bintang pada Awan Molekuler,Universitas Gadjah Mada,LPK,LPK,ELIDA LAILIYA ISTIQOMAH,kaji gerak inti ballistik paham bentuk bintang awan molekuler
Pemanfaatan Limbah Bambu Apus Untuk Daktilitas Beton,Universitas Sarjanawiyata Tamansiswa,LPK,LPK,AGUS PRIYANTO,manfaat limbah bambu apus daktilitas beton
Faktor-faktor Penentu Dari Prestasi Belajar Pendidikan Pancasila Mahasiswa Semester Ganjil Universitas Sarjanawiyata Tamansiswa Tahun Akademik 2012/2013,Universitas Sarjanawiyata Tamansiswa,LPK,LPK,Y BAMBANG DWIRATNO,faktor prestasi ajar didik pancasila mahasiswa semester ganjil universitas sarjanawiyata tamansiswa tahun akademik
Pengaruh Jus Buah Mengkudu (Morinda Citrifolia) terhadap Kadar Gula Darah Stres Oksidatif dan Gambaran Histologi Kelenjar Pankreas Tikus Putih (Rattus Norvegicus) Galur Wistar yang Dibuat Diabetes Mellitus,Universitas Muhammadiyah Yogyakarta,LPK,LPK,IKHLAS MUHAMMAD JENIE,pengaruh jus buah mengkudu morinda citrifolia gula darah stres oksidatif gambar histologi kelenjar pankreas tikus putih rattus norvegicus galur wistar diabetes mellitus
KINERJA BANK INDONESIA SETELAH MELAKUKAN MERGRR DAN AKUISISI DENGAN BANK ASING : APAKAH LANGKAH LEBIH BAIK,Universitas Janabadra,LPK,LPK,SITI ROCHMAH IKA,bank indonesia mergrr akuisisi bank asing langkah
Keamanan dan Permukiman Kota Studi Komparasi Persepsi Keamanan dan Perilaku Pengamanan Terhadap Kriminalitas di Permukiman Berpagar Kampung dan Campuran,Universitas Islam Indonesia,LPK,LPK,ILYA FADJAR MAHARIKA,aman mukim kota studi komparasi persepsi aman perilaku aman kriminalitas mukim pagar kampung campur
Pengaruh Jenis Cairan pada Penukar Kalor Tambahan dalam Resonator Pendingin Termoakustik,Universitas Gadjah Mada,LPK,LPK,AGUNG BAMBANG SETIO UTOMO,pengaruh jenis cair tukar kalor resonator dingin termoakustik
Efektivitas Pembimbingan Klinik Dalam Pencapaian Kompetensi Mahasiswa Program Studi Kebidanan Sekolah Vokasi Universitas Gadjah Mada,Universitas Gadjah Mada,LPK,LPK,DIAH WULANDARI,efektivitas bimbing klinik capai kompetensi mahasiswa program studi bidan sekolah vokasi universitas gadjah mada
Markov Chain Monte Carlo Dalam Analisis Bayesian,Universitas Gadjah Mada,LPK,LPK,SUBANAR,markov chain monte carlo analisis bayesian
Modifikasi Gravitasi dalam Ruang Finsler: Klasifikasi Geometri Finsler dan Aplikasi,Universitas Gadjah Mada,LPK,LPK,ROMY HANANG SETYA BUDHI,modifikasi gravitasi ruang finsler klasifikasi geometri finsler aplikasi
Metode Rangkaian LIstrik Sederhana Untuk Pengukuran Resistivitas Bahan Konduktor,Universitas Gadjah Mada,LPK,LPK,SUNARTA,metode rangkai listrik sederhana ukur resistivitas bahan konduktor
TINJA SAPI SEBAGAI GREEN ADSORBEN LOGAM STRATEGIS,Universitas Gadjah Mada,LPK,LPK,BAMBANG RUSDIARSO,tinja sapi green adsorben logam strategis
Sistem pendamping kesehatan kehamilan ibu,Universitas Gadjah Mada,LPK,LPK,MUHAMMAD FAKHRURRIFQI,sistem samping sehat hamil
Pengaruh Kepemimpinan Transformasional terhadap Kinerja Organisasi di Kecamatan Kalibawang Kabupaten Kulonprogo Daerah Istimewa Yogyakarta. (Transformational Leadership Influence on Organizational Performance in Kalibawang Kulonprogo Daerah Istimewa Yogyakarta),Universitas Gadjah Mada,LPK,LPK,RINA WIDIASTUTI S.S. M.A.,pengaruh pimpin transformasional organisasi camat kalibawang kabupaten kulonprogo daerah istimewa yogyakarta transformational leadership influence on organizational performance in kalibawang kulonprogo daerah istimewa yogyakarta
Adaptasi Masyarakat terhadap Kekeringan Akibat Perubahan Iklim di Kabupaten Gunungkidul Daerah Istimewa Yogyakarta,Universitas Gadjah Mada,LPK,LPK,MUHAMMAD SANI ROYCHANSYAH,adaptasi masyarakat kering akibat ubah iklim kabupaten gunungkidul daerah istimewa yogyakarta
Perancangan Sistem Transfer Daya Nirkabel Untuk Unmanned Aerial Vehicle (UAV) Mikro Jenis Quadcopter,Universitas Islam Indonesia,LPK,LPK,SETYAWAN WAHYU PRATOMO,ancang sistem transfer daya nirkabel unmanned aerial vehicle uav mikro jenis quadcopter
ANALISIS TINGKAT PELAYANAN JALAN PADA RUAS JALAN AFFANDI DI YOGYAKARTA,Universitas Islam Indonesia,LPK,LPK,CORRY YA CUB,analisis tingkat layan jalan ruas jalan affandi yogyakarta
Pengaruh Sistem Pemilu Terhadap Rekrutmen Politik dan Keterpilihan Caleg (Studi Kasus Pada Partai Demokrasi Indonesia Perjuangan (PDIP) Kabupaten Sleman Dalam Pemilu 2014),Universitas Muhammadiyah Yogyakarta,LPK,LPK,TITIN PURWANINGSIH,pengaruh sistem milu rekrutmen politik pilih caleg studi partai demokrasi indonesia juang pdip kabupaten sleman milu
Analisis Biaya Tambahan Yang Dikeluarkan Pasien Diabetes Melitus Paserta JKN Non PBI di Instalasi Rawat Jalan PKU Muhammadiyah Yogyakarta unit II,Universitas Muhammadiyah Yogyakarta,LPK,LPK,FIRMAN PRIBADI,analisis biaya pasien diabetes melitus paserta jkn non pbi instalasi rawat jalan pku muhammadiyah yogyakarta unit ii
Analisis Wacana Iklan Baris Handphone pada Harian Kedaulatan Rakyat,Universitas Sarjanawiyata Tamansiswa,LPK,LPK,PURWANTO HUDI R,analisis wacana iklan baris handphone daulat rakyat
Standarisasi Ekstrak Wortel sebagai Pewarna Alami Sediaan Liptik dengan Aktivitas Antioksidan,Universitas Islam Indonesia,LPK,LPK,FARIDA HAYATI,standar ekstrak wortel warna alami sedia liptik aktivitas antioksidan
Standarisasi Ekstrak Wortel sebagai Pewarna Alami Sediaan Lipstik dengan Aktivitas Antioksidan,Universitas Islam Indonesia,LPK,LPK,FARIDA HAYATI,standar ekstrak wortel warna alami sedia lipstik aktivitas antioksidan
Pengembangan Museum Tarakan (kerja sama Pusat Studi Kebudayaan UGM-Pemerintah Daerah Tarakan),Universitas PGRI Yogyakarta,LPK,LPK,ELSA PUTRI ERMISAH SYAFRIL,kembang museum tara pusat studi budaya ugm-pemerintah daerah tara
Efektivitas Sanksi Deportasi Terhadap Kasus Penyalahgunaan Izin Tinggal Warga Negara Asing di Daerah Istimewa Yogyakarta,Sekolah Tinggi Teknologi Kedirgantaraan,LPK,LPK,SRI SUTARWATI,efektivitas sanksi deportasi penyalahgunaan izin tinggal warga negara asing daerah istimewa yogyakarta
Identifikasi dan Pengendalian Risiko Potensi Bahaya pada Keselamatan Kerja dan Lingkungan di Laboratorium Program Studi Teknik Lingkungan Universitas Islam Indonesia,Universitas Islam Indonesia,LPK,LPK,SUPHIA RAHMAWATI,identifikasi kendali risiko potensi bahaya selamat lingkung laboratorium program studi teknik lingkung universitas islam indonesia
Evaluasi Penyimpanan Obat di Gudang Farmasi Rumah Sakit PKU Muhammadiyah Yogyakarta Tahun 2015,Universitas Islam Indonesia,LPK,LPK,FITHRIA DYAH AYU SURYANEGARA,evaluasi simpan obat gudang farmasi rumah sakit pku muhammadiyah yogyakarta tahun
Pengaruh Kecerdasan Emosi dan Perilaku Prososial terhadap Kebahagiaan Siswa di MTsN 1 Yogyakarta,Universitas Islam Indonesia,LPK,LPK,MOHAMMAD HAJAR DEWANTORO,pengaruh cerdas emosi perilaku prososial bahagia siswa mtsn yogyakarta
Layanan Informasi Laboratorium Statistika UII Menggunakan Teknologi Push Notification pada Smartphone Android,Universitas Islam Indonesia,LPK,LPK,RADEN BAGUS FAJRIYA HAKIM,layan informasi laboratorium statistika uii teknologi push notification ponsel pintar android
Pola Penataan Ruang Dapur Hunian Menyatu Pada Hunian Tetap Karang Kendal Cangkringan di Sleman Yogyakarta.,Institut Seni Indonesia Yogyakarta,LPK,LPK,BAMBANG PRAMONO,pola tata ruang dapur huni huni karang kendal cangkring sleman yogyakarta
Penentuan Kombinasi Kernel terbaik Menggunakan Median Filter,Universitas Respati Yogyakarta,LPK,LPK,YUDIANINGSIH,kombinasi kernel median filter
Tinjauan Histologis Aorta dan Jantung Tikus Wistar Hiperkolesteromik dengan Pemberian Jus Sirsak (Anona Muricana L),Universitas Respati Yogyakarta,LPK,LPK,YENY SULISTYOWATI,tinjau histologis aorta jantung tikus wistar hiperkolesteromik jus sirsak anona muricana
Rancang Bangun Sistem Informasi Kegiatan Penelitian dan Pengabdian Kepada Masyarakat (Studi Kasus: PPPM UNRIYO),Universitas Respati Yogyakarta,LPK,LPK,HAMZAH,rancang bangun sistem informasi giat teliti abdi masyarakat studi pppm unriyo
Constructive Research Perencanaan Studi Mahasiswa STMIK AKAKOM Yogyakarta,STMIK Akakom,LPK,LPK,BAMBANG PURNOMOSIDI DP,constructive research rencana studi mahasiswa stmik akakom yogyakarta
Proses Berfikir Kreatif Mahasiswa dalam Pengajuan Masalah Matematika Ditinjau dari Perbedaan Gender,STMIK Akakom,LPK,LPK,ILHAM RAIS ARVIANTO,proses pikir kreatif mahasiswa aju matematika tinjau beda gender
Keefektifan Metode Simulasi untuk Pengangkatan Hasil Belajar dan Keterampilan Sosial Mahasiswa pada Mata Kuliah Metode Pembelajaran di PGSD UPY,Universitas PGRI Yogyakarta,LPK,LPK,RINA DYAH RAHMAWATI,efektif metode simulasi angkat hasil ajar terampil sosial mahasiswa kuliah metode ajar pgsd upy
Analisis Geokimia dan Studi Biomarker Terhadap Maturity Batuan Induk Formasi Ngimbang pada Lapangan X Cekungan Lepas Pantai Jawa Timur Utara,Universitas Pembangunan Nasional Veteran Yogyakarta,LPK,LPK,KUWAT SANTOSO,analisis geokimia studi biomarker maturity batu induk formasi ngimbang lapang cekung lepas pantai jawa timur utara
Pengembangan Metode Diagnosis Cepat Penyakit Canine Parvovirus dengan Menggunakan  Metode PCR pada Pasien Anjing di RSH Prof. Soeparwi,Universitas Gadjah Mada,LPK,LPK,HEVI WIHADMADYATAMI,kembang metode diagnosis cepat sakit canine parvovirus metode pcr pasien anjing rsh prof soeparwi
INTESIS 2-HIDROKSIKALKON TERKATALISIS ZrO2-MONTMORILONIT DENGAN METODE SONIKASI,Universitas Gadjah Mada,LPK,LPK,SUGENG TRIONO,intesis -hidroksikalkon katalis zro-montmorilonit metode sonikasi
SINTESIS SENYAWA 3-ASETIL-4-HIDROKSI-5-METOKSIBENZALDEHIDA SEBAGAI BAHAN PEMBUATAN AKTIBAKTERIA TURUNAN FURANOFLAVON MELALUI PENATAAN ULANG FRIES DARI VANILIN BERBASIS GREEN CHEMISTRY,Universitas Gadjah Mada,LPK,LPK,SUGENG TRIONO,sintesis senyawa -asetil -- hidroksi -- metoksibenzaldehida bahan aktibakteria turun furanoflavon tata ulang fries vanilin bas green chemistry
Uji Aktivitas Antidiare Perasan Segar Bakal Buah Kelapa (cocos nucifera L.) Terhadap Mencit Mus Musculus Putih Jantan Galur DDY,Sekolah Tinggi Ilmu Kesehatan Madani Yogyakarta,LPK,LPK,RAHMA ARTEMISIA,uji aktivitas antidiare peras segar buah kelapa cocos nucifera mencit mus musculus putih jantan galur ddy
Analisis Kecenderungan dan Tren Penelitian Mahasiswi Kebidanan STIKes Madani Yogyakarta,Sekolah Tinggi Ilmu Kesehatan Madani Yogyakarta,LPK,LPK,ERY FATMAWATI,analisis cenderung tren teliti mahasiswi bidan stikes madani yogyakarta
PENGEMBANGAN JARINGAN DISTRIBUSI LOGISTIK SEBAGAI ANTISIPASI BENCANA GEMPA BUMI DI KABUPATEN,Universitas Teknologi Yogyakarta,LPK,LPK,YOHANES ANTON NUGROHO,kembang jaring distribusi logistik antisipasi bencana gempa bumi kabupaten
PENGUJIAN TECHNOLOGY ACCEPTANCE MODEL TERHADAP KEINGINAN PENGGUNAAN KEMBALI TEKNOLOGI INFORMASI DENGAN NILAI PRIBADI SEBAGAI PEMODERASI,Universitas Teknologi Yogyakarta,LPK,LPK,TAUFIK BIN ABAD,uji technology acceptance model teknologi informasi nilai pribadi pemoderasi
DESAIN PENGENDALI MIKRO 8-BIT RENDAH KONSUMSI DAYA UNTUK DATA LOGGER TINGGI MUKA AIR.,Universitas Teknologi Yogyakarta,LPK,LPK,MUHAMMAD S HENDRIYAWAN A,desain kendali mikro -bit rendah konsumsi daya data logger tinggi muka air
gambaran perilaku ibu dalam penggunaan antibiotik pada anak (studi kasus pada ibu dengan balita ISPA di kabupaten bantul),Sekolah Tinggi Ilmu Kesehatan Madani Yogyakarta,LPK,LPK,FILU MARWATI SANTOSO PUTRI,gambar perilaku antibiotik mahasiswa studi balita ispa kabupaten bantul
Kebijakan Pemerintah Cina Terhadap Minoritas Etnis HUI Dalam Mewujudkan Integrasi Nasional.,Universitas Pembangunan Nasional Veteran Yogyakarta,LPK,LPK,HIKMATUL AKBAR,bijak perintah cina minoritas etnis hui wujud integrasi nasional
Pelaksanaan Rehabilitasi Bagi Pecandu Narkotika Pada Tahap Penyidikan Setelah Berlakunya Peraturan Bersama 7 (Tujuh) Lembaga Negara Republik Indonesia,Universitas Gadjah Mada,LPK,LPK,DANI KRISNAWATI,laksana rehabilitasi candu narkotika tahap sidi atur tujuh lembaga negara republik indonesia
PENERAPAN ASAS NEBIS IN IDEM DALAM PUTUSAN MAHKAMAH KONSTITUSI TERHADAP PERMOHONAN PENGUJIAN UNDANG-UNDANG,Universitas Gadjah Mada,LPK,LPK,ENNY NURBANINGSIH,terap asas nebis in idem putus mahkamah konstitusi uji undang
Model Rekonstruksi Rumah Tradisional dengan Bambu Apus Lapis Sebagai Upaya Pelestarian Bangunan Studi Kasusu Rumah Tradisional Jawa dan Bali,Universitas Islam Indonesia,LPK,LPK,YULIANTO PURWONO PRIHATMAJI,model rekonstruksi rumah tradisional bambu apus lapis upaya lestari bangun studi kasusu rumah tradisional jawa bal
Analisis Deskriptif Kepatuhan Pengelolaan Keuangan Bagi SLTA Pada Lingungan Ama Usaha Muhammadiyah Se-daerah Istimewa Yogyakrta,Universitas Muhammadiyah Yogyakarta,LPK,LPK,SIGIT ARIE WIBOWO,analisis deskriptif patuh kelola uang slta lingungan sama usaha muhammadiyah se-daerah istimewa yogyakrta
Pengaruh Edukasi Perawatan Kaki DM terhadap Pengetahuan Dan Self-eficacy Tentang Perawatan Kaki DM pada Keluarga Penderita DM di RS PKU Muhammadiyah Yogyakarta Unit 2,Universitas Muhammadiyah Yogyakarta,LPK,LPK,YANUAR PRIMANDA,pengaruh edukasi awat kaki dm self-eficacy awat kaki dm keluarga derita dm rs pku muhammadiyah yogyakarta unit
LEADERSHIP : Hubungan Kepemimpinan Mahasiswa dan Kemampuan Kognitif,Universitas Muhammadiyah Yogyakarta,LPK,LPK,WIWIK KUSUMAWATI,leadership hubung pimpin mahasiswa kognitif
Efektivitas Psikoedukasi Terhadap Beban Keluarga (Familu Burden) Penderitaa Skizofrenia Di Komunitas,Universitas Muhammadiyah Yogyakarta,LPK,LPK,WARIH ANDAN PUSPITISARI,efektivitas psikoedukasi beban keluarga familu burden penderitaa skizofrenia komunitas
Efektifitas Relaksasi Progresif terhadap Tingkat Depresi tekanan Darah dan Kadar Glukosa Darah pada Kelompok Lanjut Usia,Universitas Muhammadiyah Yogyakarta,LPK,LPK,RATNA INDRIAWATI,efektifitas relaksasi progresif tingkat depresi tekan darah glukosa darah kelompok usia
Integrasi Metode Viola-Jones dan Camshoft untuk Deteksi dan Tracking Wajah secara Real-Time,Universitas Amikom Yogyakarta,LPK,LPK,ANDI SUNYOTO,integrasi metode viola-jones camshoft deteksi tracking wajah real-time
Desain PEBIGES untuk Meningkatkan Biodigesterisasi Masyarakat Desa Wilayah DIY,Universitas Gadjah Mada,LPK,LPK,FADLI KASIM,desain pebiges tingkat biodigesterisasi masyarakat desa wilayah diy
PENGARUH PENGGUNAAN ASPAL MODIFIKASI PLASTOMER JENIS EVA (ETHYL VYNIL ACETATE) PADA KARAKTERISTIK CAMPURAN HOT ROLLED SHEET (HRS) (THE INFLUENCE OF UTILIZATION OF PLASTOMER TYPE EVA (ETHYL VYNIL ACETATE) MODIFIED ASPHAL ON THE CHARACTERISTICS OF HOT ROLLED SHEET (HRS) MIXTURE),Universitas Gadjah Mada,LPK,LPK,LATIF BUDI SUPARMA,pengaruh aspal modifikasi plastomer jenis eva ethyl vynil acetate karakteristik campur panas rolled sheet harus the influence of utilization of plastomer tipe eva ethyl vynil acetate modified asphal on the characteristics of panas rolled sheet harus mixture
Peran Pembelajaran Kurikulum 2012 Terhadap Kesiapan Kerja Mahasiswa Prodi D-III Bahasa Mandarin Sekolah Vokasi Universitas Gadjah Mada (Pengamatan Mahasiswa Angkatan 2013 - 2015),Universitas Gadjah Mada,LPK,LPK,ERITRINA PUTRI EKANTARI,peran ajar kurikulum siap mahasiswa prodi d-iii bahasa mandarin sekolah vokasi universitas gadjah mada mahasiswa angkat -
Inverter 10,Universitas Gadjah Mada,LPK,LPK,EKA FIRMANSYAH,inverter
Penentuan Kedalaman Kritis Model Bajak Lorong Dalam Proses Pembuatan Lorong Pengatus Tanah Sawah.,Universitas Gadjah Mada,LPK,LPK,ABDUL ROZAQ,kritis model bajak lorong proses lorong atus tanah sawah
Kandungan P K Ca Mg dan Na dalam Seresah dan Tanah Hasil Rehabilitasi Lahan Pasir Pantai Pada Beberapa Umur Tegakan Cemara Udang (Casuarina equisetifolia) di Pantai Selatan Kabupaten Bantul,Universitas Gadjah Mada,LPK,LPK,DARYONO PREHATEN,kandung ca mg na resah tanah hasil rehabilitasi lahan pasir pantai umur tega cemara udang casuarina equisetifolia pantai selatan kabupaten bantul
